token,mean_importance_yta,mean_importance_nta,diff,count_yta_docs,count_nta_docs,abs_diff
eve,0.27830477552827376,0.0,0.27830477552827376,1,0,0.27830477552827376
harsh,0.2750128681935851,0.0,0.2750128681935851,1,0,0.2750128681935851
myself,0.28417491933777783,0.556346931201136,-0.27217201186335815,1,1,0.27217201186335815
short,0.27209084757336094,0.0,0.27209084757336094,1,0,0.27209084757336094
texts,0.0,0.2693160228326669,-0.2693160228326669,0,1,0.2693160228326669
mum,0.39982303706360106,0.6674774732662243,-0.26765443620262325,3,3,0.26765443620262325
locks,0.20094576781664128,0.46859665422021357,-0.26765088640357226,4,4,0.26765088640357226
covid,0.7174198547576445,0.452063218214514,0.26535663654313046,2,2,0.26535663654313046
card,0.0,0.2615727674644832,-0.2615727674644832,0,2,0.2615727674644832
doors,0.0,0.2606658384141786,-0.2606658384141786,0,1,0.2606658384141786
yelled,0.3680962847379729,0.10880406793038996,0.25929221680758296,1,1,0.25929221680758296
entrepreneur,0.44064128773936345,0.1816575803724892,0.25898370736687426,1,1,0.25898370736687426
vasectomy,0.0,0.25832412010697875,-0.25832412010697875,0,1,0.25832412010697875
soon,0.4924997831262591,0.2345603573310187,0.2579394257952404,1,1,0.2579394257952404
archaeology,0.3251502307264604,0.06787156978457094,0.25727866094188945,1,1,0.25727866094188945
successful,0.25640477040198273,0.0,0.25640477040198273,1,0,0.25640477040198273
breast,0.0,0.2556447538967262,-0.2556447538967262,0,1,0.2556447538967262
appearence,0.31854301130323326,0.06301659727122856,0.2555264140320047,1,1,0.2555264140320047
currently,0.25408965731328326,0.0,0.25408965731328326,1,0,0.25408965731328326
came,0.2530528857838276,0.0,0.2530528857838276,2,0,0.2530528857838276
homework,0.0,0.2520975915801169,-0.2520975915801169,0,1,0.2520975915801169
weird,0.5924669658275981,0.34214063224441504,0.250326333583183,2,1,0.250326333583183
dish,0.2192147033795851,0.4678075043394685,-0.2485928009598834,1,1,0.2485928009598834
pillow,0.0,0.2483584918857543,-0.2483584918857543,0,1,0.2483584918857543
tapped,0.247586810840381,0.0,0.247586810840381,1,0,0.247586810840381
phone,0.8345812519112822,0.5885803466673283,0.2460009052439539,1,1,0.2460009052439539
across,0.17775529145884147,0.42289456843743706,-0.24513927697859558,1,1,0.24513927697859558
gf,0.30656880510327683,0.5515599957392137,-0.24499119063593683,2,2,0.24499119063593683
persuade,0.2429495510647877,0.0,0.2429495510647877,1,0,0.2429495510647877
